Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
1160,0.21174803376197815,0.07744534313678741,0.01957867667078972,0.02720533311367035,0.026585513725876808,0.017689982429146767,-0.0005389559082686901,-0.0014487961307168007,0.0933440700173378,0.09463203698396683
1180,0.2138356864452362,0.07848243415355682,0.01989377662539482,0.027917442843317986,0.026757465675473213,0.01796080358326435,-0.0003608760016504675,-0.0014362111687660217,0.09287746995687485,0.09867581725120544
1200,0.2160016894340515,0.0795249193906784,0.020240379497408867,0.02858949452638626,0.02698790840804577,0.01830999366939068,-0.00021222446230240166,-0.0014221776509657502,0.09681127220392227,0.10713273286819458
1220,0.21843406558036804,0.0806470736861229,0.020627940073609352,0.029260367155075073,0.02722921408712864,0.01862449012696743,-3.658716013887897e-05,-0.001417070161551237,0.09187526255846024,0.09718570113182068
1240,0.220252126455307,0.08152727782726288,0.02092798613011837,0.02995442785322666,0.027399025857448578,0.018957126885652542,0.00014346376701723784,-0.0014051712350919843,0.09349897503852844,0.09194818139076233
1260,0.22194190323352814,0.0824606791138649,0.02126235142350197,0.03065638430416584,0.027613520622253418,0.019254708662629128,0.0003335531218908727,-0.0013938253978267312,0.0900299921631813,0.08982491493225098
1280,0.2236732393503189,0.08342944830656052,0.021574586629867554,0.031322479248046875,0.02776382490992546,0.019540712237358093,0.0005431091412901878,-0.001382663263939321,0.09018360823392868,0.09419403970241547
1300,0.2257867306470871,0.08441022783517838,0.021916832774877548,0.03196999803185463,0.028016751632094383,0.019881611689925194,0.0007023627986200154,-0.0013680456904694438,0.0940871611237526,0.09594576060771942
1320,0.22812587022781372,0.08543739467859268,0.022319631651043892,0.032664477825164795,0.028244823217391968,0.020177491009235382,0.0009104215423576534,-0.001357196131721139,0.09325455874204636,0.09300006926059723
1340,0.23024600744247437,0.0862913504242897,0.02263861708343029,0.03328527882695198,0.028431972488760948,0.020520459860563278,0.0011089587351307273,-0.0013406869256868958,0.09131196141242981,0.0886421874165535
1360,0.2318258285522461,0.08715232461690903,0.022928908467292786,0.03394040837883949,0.028614096343517303,0.020802762359380722,0.0013244521105661988,-0.0013321628794074059,0.08641742169857025,0.09329675883054733
1380,0.2333526462316513,0.08805962651968002,0.023248743265867233,0.03458988294005394,0.02882174402475357,0.021088408306241035,0.0015328158624470234,-0.00132298085372895,0.08816365152597427,0.08695832639932632
1400,0.2347632795572281,0.08892260491847992,0.023540588095784187,0.03521273657679558,0.029018649831414223,0.021353229880332947,0.0017343279905617237,-0.0013201819965615869,0.09245893359184265,0.0912465825676918
1420,0.23655474185943604,0.08980798721313477,0.023866258561611176,0.035849373787641525,0.029198825359344482,0.021641241386532784,0.0019360462902113795,-0.001315890345722437,0.08656302094459534,0.08724787831306458
1440,0.23816385865211487,0.09059791266918182,0.024147365242242813,0.036485157907009125,0.0293878260999918,0.02195899188518524,0.0021462764125317335,-0.001309347921051085,0.09144160896539688,0.08744414150714874
1460,0.24002930521965027,0.09154094010591507,0.024515418335795403,0.03708131983876228,0.029579205438494682,0.02224702574312687,0.002341008512303233,-0.0013062962098047137,0.08763139694929123,0.08942446112632751
1480,0.24183706939220428,0.09234935790300369,0.024838685989379883,0.03769794851541519,0.029735323041677475,0.022567732259631157,0.002588824834674597,-0.0013085356913506985,0.0840989425778389,0.08700999617576599
1500,0.24349133670330048,0.09326262772083282,0.02517213299870491,0.038356903940439224,0.029942931607365608,0.022857453674077988,0.0028275742661207914,-0.00130854407325387,0.08472038805484772,0.08630189299583435
1520,0.24521546065807343,0.09413699060678482,0.025468647480010986,0.03892949968576431,0.03012506663799286,0.023146789520978928,0.0030303325038403273,-0.001312463777139783,0.08278971910476685,0.08564639091491699
1540,0.24663743376731873,0.09497667849063873,0.025808367878198624,0.03951922059059143,0.030276264995336533,0.023415371775627136,0.0032071846071630716,-0.0013086205581203103,0.08404423296451569,0.08629201352596283
1560,0.2482198178768158,0.09573104977607727,0.02608575113117695,0.04014109447598457,0.030466778203845024,0.02372564934194088,0.0034328203182667494,-0.001308803097344935,0.08354035019874573,0.0854608491063118
1580,0.2496769279241562,0.09651944786310196,0.026368431746959686,0.04075147211551666,0.030648205429315567,0.02399776503443718,0.0036552795208990574,-0.0013070807326585054,0.08368069678544998,0.08503694832324982
1600,0.2514062821865082,0.09734667837619781,0.026658274233341217,0.04135178029537201,0.030811334028840065,0.024303512647747993,0.003888351609930396,-0.00130888179410249,0.08337654173374176,0.08515407145023346
1620,0.25278598070144653,0.0981370210647583,0.026983296498656273,0.04199528321623802,0.03100317344069481,0.024592284113168716,0.0041244798339903355,-0.001308166771195829,0.08209654688835144,0.08449128270149231
