Step,gamma,loss(train),loss(validate)
3380,0.4030434489250183,0.062380723655223846,0.0641503557562828
3400,0.4033335745334625,0.06179775297641754,0.0631919801235199
3420,0.40349557995796204,0.06307216733694077,0.0641055703163147
3440,0.40369564294815063,0.060718342661857605,0.06310084462165833
3460,0.40399840474128723,0.06216307356953621,0.06392863392829895
3480,0.4041261076927185,0.06683000177145004,0.06421662867069244
3500,0.4042898416519165,0.06193038448691368,0.06622475385665894
3520,0.40440812706947327,0.06211785972118378,0.06326436251401901
3540,0.4044673442840576,0.060427941381931305,0.06369725614786148
3560,0.4047825336456299,0.06290018558502197,0.06638732552528381
3580,0.4052797257900238,0.061280880123376846,0.0642053559422493
3600,0.4054059684276581,0.06141078099608421,0.06287285685539246
3620,0.4056917726993561,0.06141756847500801,0.06401394307613373
3640,0.40583139657974243,0.061746157705783844,0.06319563090801239
3660,0.406118243932724,0.06044158339500427,0.06499160081148148
3680,0.40652260184288025,0.06176638603210449,0.062126219272613525
3700,0.40678057074546814,0.05907273292541504,0.06284532696008682
3720,0.4067828953266144,0.06122971698641777,0.06289101392030716
3740,0.40675029158592224,0.06108022853732109,0.062183111906051636
3760,0.406737744808197,0.061789218336343765,0.06175142526626587
3780,0.40684372186660767,0.06254663318395615,0.06338594108819962
3800,0.40715545415878296,0.0602593868970871,0.06298267841339111
3820,0.40743735432624817,0.059762950986623764,0.061641011387109756
3840,0.4077140688896179,0.058884818106889725,0.06066383793950081
3860,0.40770530700683594,0.0601724348962307,0.06103653833270073
3880,0.4077466130256653,0.05857379361987114,0.06076982617378235
3900,0.40776699781417847,0.05988885462284088,0.06126438081264496
3920,0.4077730178833008,0.05859488993883133,0.06108342111110687
3940,0.40780431032180786,0.05996297672390938,0.06391514837741852
3960,0.4080708920955658,0.05926314741373062,0.06289113312959671
3980,0.40828627347946167,0.06030494347214699,0.061154842376708984
4000,0.4083713889122009,0.05825265869498253,0.06302224844694138
4020,0.40843307971954346,0.05911393091082573,0.06196029856801033
4040,0.4084243178367615,0.05865311622619629,0.06248144060373306
4060,0.40849700570106506,0.059825729578733444,0.06425090879201889
4080,0.4084513485431671,0.05820484086871147,0.06150270998477936
4100,0.40874069929122925,0.058889634907245636,0.061817239969968796
4120,0.40889421105384827,0.0570603646337986,0.05997862666845322
4140,0.408988356590271,0.061586473137140274,0.061787284910678864
4160,0.4091985523700714,0.059785146266222,0.06614534556865692
4180,0.4093717038631439,0.059777870774269104,0.06044422835111618
4200,0.40952757000923157,0.05744799226522446,0.061160411685705185
4220,0.4097590446472168,0.05941321700811386,0.06172532960772514
4240,0.40988269448280334,0.05716231092810631,0.061999835073947906
4260,0.4099314510822296,0.05771184340119362,0.06123056262731552
4280,0.41008660197257996,0.05955224484205246,0.060824453830718994
4300,0.41028836369514465,0.057244352996349335,0.05908383056521416
4320,0.41022154688835144,0.05722517892718315,0.06060449779033661
4340,0.4102386236190796,0.05797872692346573,0.05982072651386261
4360,0.4102068543434143,0.05820575729012489,0.0600765235722065
4380,0.41038978099823,0.059372179210186005,0.05967123806476593
4400,0.4104469120502472,0.05532360449433327,0.05962861329317093
4420,0.41044318675994873,0.05823136493563652,0.05968383699655533
4440,0.4105377793312073,0.05938100442290306,0.05911245569586754
4460,0.4104572534561157,0.05829799547791481,0.05801112949848175
4480,0.41067999601364136,0.0559278205037117,0.05899021774530411
4500,0.41061118245124817,0.05778685212135315,0.05979813262820244
4520,0.4104992151260376,0.05647468939423561,0.05888801068067551
4540,0.4105762839317322,0.05771849304437637,0.05970009043812752
4560,0.41064533591270447,0.0557691752910614,0.0616660937666893
4580,0.41094252467155457,0.05959027633070946,0.059637781232595444
4600,0.41098541021347046,0.055233538150787354,0.05959228053689003
4620,0.4110371172428131,0.05583556741476059,0.05930378660559654
4640,0.4111543297767639,0.055528510361909866,0.05823318287730217
4660,0.41109299659729004,0.056513894349336624,0.05815597623586655
4680,0.4110827147960663,0.056510478258132935,0.058846451342105865
4700,0.4112054407596588,0.06080840900540352,0.061622053384780884
4720,0.4114643335342407,0.056392353028059006,0.05847693234682083
4740,0.4116450846195221,0.05677730217576027,0.05875590443611145
4760,0.41168472170829773,0.054715968668460846,0.05758088827133179
4780,0.4118833839893341,0.05749640241265297,0.06757184863090515
4800,0.411952406167984,0.056115638464689255,0.05968092754483223
4820,0.4121966063976288,0.055641986429691315,0.05953516811132431
4840,0.41220182180404663,0.0566466860473156,0.06058463081717491
4860,0.41226479411125183,0.05604306608438492,0.05811699107289314
4880,0.4122092127799988,0.05621984973549843,0.059073321521282196
4900,0.4121471643447876,0.05675360932946205,0.05708257853984833
4920,0.41217485070228577,0.05557223781943321,0.06123707443475723
4940,0.41226136684417725,0.05773456022143364,0.06227785348892212
4960,0.41247737407684326,0.05625040829181671,0.0572495311498642
4980,0.4125624895095825,0.05320840701460838,0.057257093489170074
5000,0.4124870300292969,0.056254807859659195,0.058139998465776443
5020,0.412173330783844,0.054951634258031845,0.057220157235860825
5040,0.41220998764038086,0.05665173754096031,0.058230869472026825
5060,0.41213133931159973,0.05494505167007446,0.05776623636484146
5080,0.4122248888015747,0.05347972363233566,0.058278605341911316
5100,0.412386953830719,0.05653480812907219,0.05885778367519379
5120,0.4121879041194916,0.05497719720005989,0.05738091468811035
5140,0.41227486729621887,0.058878086507320404,0.05707570165395737
5160,0.41229695081710815,0.05518494173884392,0.057052478194236755
5180,0.4124518632888794,0.055945079773664474,0.058014679700136185
5200,0.41235536336898804,0.05475331470370293,0.056648775935173035
5220,0.4123213291168213,0.05629494786262512,0.056664444506168365
5240,0.4122651219367981,0.05381029099225998,0.0567936897277832
5260,0.41213008761405945,0.05215516686439514,0.05668877437710762
5280,0.412067711353302,0.05419260635972023,0.05849196016788483
5300,0.41191646456718445,0.05347073823213577,0.05596770718693733
5320,0.41199392080307007,0.0545220710337162,0.0566638745367527
5340,0.4119378626346588,0.054352715611457825,0.06132012605667114
5360,0.4121406674385071,0.05280917510390282,0.056236740201711655
5380,0.41186752915382385,0.05362532287836075,0.05734050273895264
5400,0.4118310213088989,0.054017145186662674,0.0572756752371788
5420,0.4120350182056427,0.05437063053250313,0.05795507878065109
5440,0.41197463870048523,0.05276596173644066,0.05713038146495819
5460,0.4120537340641022,0.05438002943992615,0.05659737065434456
5480,0.41220521926879883,0.05367840453982353,0.056993644684553146
5500,0.41211646795272827,0.05522862449288368,0.05601098760962486
5520,0.4121691584587097,0.05310487747192383,0.05784216895699501
5540,0.41217976808547974,0.05475112423300743,0.05633749067783356
5560,0.41234731674194336,0.053129300475120544,0.05851956456899643
5580,0.4122839868068695,0.05591077730059624,0.055929385125637054
5600,0.4122771620750427,0.055149540305137634,0.056896667927503586
5620,0.4123457074165344,0.05141584575176239,0.05736846476793289
5640,0.4123275876045227,0.055103152990341187,0.05774746835231781
5660,0.41231781244277954,0.052229031920433044,0.055679719895124435
5680,0.41239768266677856,0.05279480293393135,0.05726607143878937
5700,0.4123035669326782,0.054096054285764694,0.05688661336898804
5720,0.41227462887763977,0.05385341867804527,0.05669252201914787
5740,0.41228345036506653,0.05476117879152298,0.05562126263976097
5760,0.41216835379600525,0.053213827311992645,0.05590799078345299
5780,0.41217756271362305,0.05164941027760506,0.0583299919962883
5800,0.41211506724357605,0.05342631787061691,0.05614718794822693
5820,0.41205745935440063,0.05281277000904083,0.05590811371803284
5840,0.4119860529899597,0.05298008397221565,0.05831513926386833
5860,0.4120040833950043,0.052362117916345596,0.0567656047642231
5880,0.41188371181488037,0.05530240386724472,0.05629880726337433
5900,0.41210004687309265,0.051751699298620224,0.05570445582270622
5920,0.41188859939575195,0.05199136584997177,0.055437736213207245
5940,0.4118238091468811,0.054465461522340775,0.055111393332481384
5960,0.41179463267326355,0.050851453095674515,0.05612178146839142
5980,0.41168323159217834,0.05340920761227608,0.054726943373680115
6000,0.4117674231529236,0.0520724318921566,0.056963976472616196
6020,0.4118638038635254,0.05346929654479027,0.05803997442126274
6040,0.4118604063987732,0.055818017572164536,0.055691443383693695
6060,0.41169583797454834,0.05316270515322685,0.05629783123731613
6080,0.4118693768978119,0.05141710117459297,0.056003179401159286
6100,0.4119666814804077,0.0516023151576519,0.05521569028496742
6120,0.4119578003883362,0.05186578631401062,0.056286171078681946
6140,0.4120148718357086,0.05142287537455559,0.05752401426434517
6160,0.41226956248283386,0.0513777956366539,0.056184593588113785
6180,0.41217470169067383,0.05190741643309593,0.05511990189552307
6200,0.4120464324951172,0.05271631479263306,0.05525399371981621
6220,0.4121245741844177,0.050709690898656845,0.0538799948990345
6240,0.4119676649570465,0.05101095512509346,0.0547163225710392
